
category,complaint
Health,The dispensary is out of essential medicines.
Water,Our area does not have access to clean drinking water.
Electricity,Power line poles are tilted and may fall.
Water,We receive muddy water from the taps every morning.
Road,Broken drainage cover on the road is a hazard.
Water,Water pressure is extremely low during peak hours.
Road,The newly constructed road has already started to crack.
Water,There are frequent water cuts without any notification.
Water,The public water stand has been damaged.
Road,The road is blocked due to illegal parking.
Other,The public library needs to stock more books.
Other,We need a speed breaker near the school.
Waste,We need a separate bin for organic waste.
Road,Street vendors occupy half of the road making it narrow.
Road,There are large potholes on the main road near my house.
Water,There has been no water supply in our area for two days.
Road,The speed breakers on this street are too high and damaging cars.
Water,Water supply timings are not being followed.
Waste,There is an overflowing dustbin at the corner of our street.
Waste,Waste bins are blocking the footpath.
Water,Sewage water is entering the drinking water pipeline.
Road,Drivers are speeding in our residential area; need speed bumps.
Health,Dogs are biting people in our street; need vaccination drive.
Electricity,The transformer sparks during the night.
Waste,There is a foul smell from the garbage pile.
Road,The sidewalk is broken and unsafe for pedestrians.
Water,The water tank needs to be cleaned; there is algae inside.
Waste,The waste transfer station is too close to the houses.
Waste,The truck makes loud noise at night disturbing residents.
Waste,People are dumping trash in an empty plot.
Waste,The garbage collection schedule is not consistent.
Road,Street lights on our road are not functioning properly.
Road,Motorcyclists are driving on the footpath.
Electricity,There is no electricity in our area after a storm.
Water,There is no pipeline connection in our new housing colony.
Waste,There are rats near the garbage dump.
Road,Waterlogging on the road after rain makes it impossible to pass.
Health,The local health centre is closed most of the time.
Other,Illegal construction is going on without approval.
Road,The road is full of dust because it has not been paved.
Road,Construction debris has been left on the street.
Electricity,Power theft is common in our neighbourhood.
Health,Please conduct a fumigation drive in our area.
Electricity,The new housing society does not have electricity connections.
Other,There is encroachment on the footpath by shopkeepers.
Water,The overhead water tank is leaking.
Road,The underpass is filled with water and not usable.
Water,A water pipe leak is wasting thousands of litres.
Waste,Garbage collection truck has not come for a week.
Electricity,Load shedding schedule is not being followed.
Road,There is no pedestrian crossing near the school.
Other,Public transport is not available in our area.
Road,Landslide debris has not been cleared from the road.
Electricity,The street light switches on and off repeatedly.
Electricity,We need more street lights in the park area.
Electricity,Street lights have not been working for a week.
Waste,Stray dogs are spreading garbage from the bins.
Electricity,Street light poles are rusted and may fall.
Other,A new street vendor market would be helpful.
Road,The lane markings have faded and need repainting.
Waste,Garbage has not been picked up after the festival.
Other,Please build a playground for children.
Other,The public park needs more benches.
Other,There are too many stray animals on the road.
Health,The hospital lacks basic facilities.
Health,The clinic in our area has no doctor during the evening.
Electricity,Our bill shows charges for electricity we did not use.
Electricity,Transformer oil is leaking onto the pavement.
Waste,We need more trash bins near the market area.
Health,There are too many stray cats around the food stalls.
Waste,The waste container is missing its lid.
Electricity,Electricity meter is not functioning and needs replacement.
Waste,No one is cleaning the park; trash is everywhere.
Waste,Waste is being burned in the open causing pollution.
Health,Mosquitoes are increasing due to stagnant water.
Electricity,Voltage is too low to run the water pump.
Water,No water tanker is available in our area during shortage.
Water,Water supply is erratic since last month.
Electricity,There are exposed wires at the bus stop.
Electricity,Voltage fluctuations are damaging our appliances.
Road,Road signs are missing at the intersection causing confusion.
Waste,The recycling bins are always full and not emptied.
Water,The water filtration plant in the area is not working.
Water,Water hydrants are being operated illegally.
Water,Our tap water has been contaminated and smells foul.
Water,Drain water is mixing with drinking water lines.
Waste,Waste containers are broken and need replacement.
Electricity,Illegal connections are overloading the power lines.
Health,Waterborne diseases are spreading after the flood.
Other,The community hall is not available for events.
Electricity,The street lights remain on during the day wasting electricity.
Water,Water meter is faulty and showing incorrect readings.
Road,Traffic signals at the junction are not working.
Waste,People are throwing household waste in the drainage.
Health,There is no ambulance service in our neighbourhood.
Electricity,There is a dangling electric wire near my house.
Water,The water pipeline has burst and flooding the street.
Waste,Waste management staff are mixing recyclables with trash.
Road,The culvert under the road is damaged and causing subsidence.
Electricity,We are facing frequent power outages throughout the day.
